         Высоты,       Скорости
            300,            300
            300,         323.68
            300,         347.37
            300,         371.05
            300,         394.74
            300,         418.42
            300,         442.11
            300,         465.79
            300,         489.47
         547.37,         513.16
         794.74,         513.16
         1042.1,         513.16
         1289.5,         513.16
         1536.8,         513.16
         1784.2,         513.16
         2031.6,         513.16
         2278.9,         513.16
         2526.3,         513.16
         2773.7,         513.16
         3021.1,         513.16
         3268.4,         513.16
         3515.8,         513.16
         3763.2,         513.16
         4010.5,         513.16
         4257.9,         536.84
         4505.3,         536.84
         4752.6,         536.84
